Código;Cliente;Data;Entradas;Saída;Patrimônio;Qtde. Cotas;Cota;Aporte de Títulos;Retirada de Títulos;Dia;Mês;Ano;Total
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-11;0,00;0,00;1.167.914.454,12;735.723.825,35929900;1,58743595;0,00;0,00;0,0306%;0,3578%;4,3736%;58,7436%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-12;0,00;13.000,00;17.373.798,76;10.335.493,55446530;1,68098395;0,00;0,00;0,0417%;0,3792%;4,5968%;68,0984%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-12;0,00;0,00;35.055.465,17;21.601.931,58082440;1,62279308;0,00;0,00;0,0077%;0,3205%;4,7238%;62,2793%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-12;0,00;0,00;68.661.431,03;49.198.519,19159880;1,39559955;0,00;0,00;-0,7799%;-3,5897%;10,0507%;39,5600%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-12;0,00;0,00;114.913.203,51;7.134.155,46745798;16,10747117;0,00;0,00;-0,8713%;-0,3024%;-5,5633%;61,0747%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-12;0,00;0,00;156.478.117,26;100.494.180,20570500;1,55708636;0,00;0,00;-0,0148%;0,4249%;2,5362%;55,7086%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-12;0,00;0,00;199.157.063,50;118.349.389,21560600;1,68278911;0,00;0,00;0,0065%;0,2993%;3,9791%;68,2789%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-12;0,00;0,00;243.153.484,43;144.682.672,65772100;1,68059851;0,00;0,00;0,0451%;0,3843%;4,8654%;68,0599%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-12;972.242,94;0,00;284.538.017,16;169.525.176,01264900;1,67844107;0,00;0,00;-0,1189%;-0,0049%;3,9404%;67,8441%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-12;2.995.811,83;0,00;381.738.422,02;214.290.704,20193900;1,78140449;0,00;0,00;0,0455%;0,3723%;4,8778%;78,1404%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-12;1.692.341,69;0,00;591.667.667,70;350.159.698,78070700;1,68970806;0,00;0,00;-0,1170%;-0,0006%;3,9370%;68,9708%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-12;2.990.000,00;0,00;1.105.875.019,13;646.005.150,66805400;1,71186719;0,00;0,00;0,0416%;0,3856%;4,6652%;71,1867%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-12;331.080,70;0,00;1.168.516.084,49;735.932.340,24320400;1,58780368;0,00;0,00;0,0232%;0,3810%;4,3977%;58,7804%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-13;0,00;0,00;17.370.717,09;10.335.493,55446530;1,68068578;0,00;0,00;-0,0177%;0,3614%;4,5782%;68,0686%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-13;0,00;0,00;35.000.084,60;21.601.931,58082440;1,62022940;0,00;0,00;-0,1580%;0,1620%;4,5584%;62,0229%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-13;0,00;0,00;67.254.941,87;49.198.519,19159880;1,36701151;0,00;0,00;-2,0484%;-5,5646%;7,7964%;36,7012%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-13;0,00;0,00;117.637.854,92;7.134.155,46745798;16,48938763;0,00;0,00;2,3711%;2,0615%;-3,3242%;64,8939%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-13;0,00;0,00;156.193.577,87;100.494.180,20570500;1,55425496;0,00;0,00;-0,1818%;0,2422%;2,3498%;55,4255%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-13;0,00;0,00;198.974.304,05;118.349.389,21560600;1,68124487;0,00;0,00;-0,0918%;0,2073%;3,8837%;68,1245%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-13;0,00;0,00;243.106.324,97;144.682.672,65772100;1,68027256;0,00;0,00;-0,0194%;0,3648%;4,8450%;68,0273%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-13;1.806.215,98;0,00;286.452.680,70;170.600.893,15593000;1,67908078;0,00;0,00;0,0381%;0,0332%;3,9800%;67,9081%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-13;6.788.000,00;30.000,00;388.460.029,66;218.084.701,78786100;1,78123466;0,00;0,00;-0,0095%;0,3628%;4,8678%;78,1235%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-13;3.292.725,79;0,00;595.176.653,65;352.107.681,85192200;1,69032567;0,00;0,00;0,0366%;0,0360%;3,9750%;69,0326%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-13;6.788.000,00;30.000,00;1.112.437.543,48;649.953.584,77301500;1,71156459;0,00;0,00;-0,0177%;0,3678%;4,6467%;71,1565%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-13;1.690.665,73;0,00;1.171.041.073,22;736.996.363,12496200;1,58893738;0,00;0,00;0,0714%;0,4527%;4,4723%;58,8937%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-14;0,00;27.267,13;17.358.747,62;10.319.284,01760450;1,68216589;0,00;0,00;0,0881%;0,4497%;4,6703%;68,2166%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-14;0,00;0,00;35.044.015,56;21.601.931,58082440;1,62226306;0,00;0,00;0,1255%;0,2878%;4,6896%;62,2263%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-14;46.000,00;0,00;67.872.415,41;49.231.885,71809780;1,37862717;0,00;0,00;0,8497%;-4,7621%;8,7124%;37,8627%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-14;0,00;0,00;118.169.858,64;7.134.155,46745798;16,56395900;0,00;0,00;0,4522%;2,5231%;-2,8870%;65,6396%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-14;0,00;0,00;156.432.321,67;100.494.180,20570500;1,55663066;0,00;0,00;0,1529%;0,3955%;2,5062%;55,6631%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-14;0,00;0,00;199.150.622,58;118.349.389,21560600;1,68273469;0,00;0,00;0,0886%;0,2961%;3,9757%;68,2735%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-14;0,00;0,00;243.305.508,70;144.682.672,65772100;1,68164926;0,00;0,00;0,0819%;0,4470%;4,9309%;68,1649%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-14;20.443,00;0,00;287.021.960,21;170.613.044,98735400;1,68229786;0,00;0,00;0,1916%;0,2249%;4,1793%;68,2298%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-14;1.610.000,00;1.610.000,00;388.730.240,44;218.084.701,79086100;1,78247368;0,00;0,00;0,0696%;0,4326%;4,9407%;78,2474%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-14;26.912,44;0,00;596.339.943,59;352.123.572,96349800;1,69355302;0,00;0,00;0,1909%;0,2270%;4,1735%;69,3553%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-14;1.624.077,45;1.610.000,00;1.113.450.633,73;649.961.802,29472500;1,71310165;0,00;0,00;0,0898%;0,4580%;4,7407%;71,3102%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-14;1.613.921,46;0,00;1.173.680.782,73;738.011.197,93372700;1,59032923;0,00;0,00;0,0876%;0,5407%;4,5638%;59,0329%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-15;0,00;0,00;17.358.886,44;10.319.284,01760450;1,68217935;0,00;0,00;0,0008%;0,4506%;4,6712%;68,2179%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-15;0,00;0,00;35.000.640,86;21.601.931,58082440;1,62025515;0,00;0,00;-0,1238%;0,1636%;4,5600%;62,0255%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-15;0,00;0,00;67.344.037,47;49.231.885,71809780;1,36789474;0,00;0,00;-0,7785%;-5,5036%;7,8660%;36,7895%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-15;0,00;0,00;118.489.477,04;7.134.155,46745798;16,60876015;0,00;0,00;0,2705%;2,8004%;-2,6243%;66,0876%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-15;0,00;0,00;156.189.866,29;100.494.180,20570500;1,55421803;0,00;0,00;-0,1550%;0,2399%;2,3474%;55,4218%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-15;0,00;0,00;199.075.143,61;118.349.389,21560600;1,68209692;0,00;0,00;-0,0379%;0,2580%;3,9363%;68,2097%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-15;0,00;0,00;243.309.972,08;144.682.672,65772100;1,68168010;0,00;0,00;0,0018%;0,4489%;4,9329%;68,1680%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-15;0,00;0,00;286.887.826,72;170.613.044,98735400;1,68151167;0,00;0,00;-0,0467%;0,1780%;4,1306%;68,1512%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-15;0,00;0,00;388.789.009,27;218.084.701,79086100;1,78274315;0,00;0,00;0,0151%;0,4477%;4,9566%;78,2743%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-15;0,00;0,00;596.061.912,90;352.123.572,96349800;1,69276344;0,00;0,00;-0,0466%;0,1802%;4,1250%;69,2763%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-15;0,00;0,00;1.113.456.495,48;649.961.802,29472500;1,71311067;0,00;0,00;0,0005%;0,4585%;4,7412%;71,3111%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-15;0,00;0,00;1.174.003.050,12;738.011.197,93372700;1,59076590;0,00;0,00;0,0275%;0,5683%;4,5925%;59,0766%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-18;0,00;0,00;17.372.440,32;10.319.284,01760450;1,68349280;0,00;0,00;0,0781%;0,5290%;4,7529%;68,3493%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-18;0,00;0,00;35.033.667,74;21.601.931,58082440;1,62178403;0,00;0,00;0,0944%;0,2581%;4,6587%;62,1784%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-18;0,00;0,00;67.259.120,89;49.231.885,71809780;1,36616991;0,00;0,00;-0,1261%;-5,6227%;7,7300%;36,6170%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-18;0,00;0,00;117.037.269,12;7.134.155,46745798;16,40520306;0,00;0,00;-1,2256%;1,5405%;-3,8178%;64,0520%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-18;0,00;0,00;156.160.134,42;100.494.180,20570500;1,55392217;0,00;0,00;-0,0190%;0,2208%;2,3279%;55,3922%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-18;0,00;0,00;199.289.178,66;118.349.389,21560600;1,68390543;0,00;0,00;0,1075%;0,3658%;4,0481%;68,3905%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-18;0,00;0,00;243.503.353,90;144.682.672,65772100;1,68301670;0,00;0,00;0,0795%;0,5287%;5,0163%;68,3017%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-18;0,00;0,00;286.665.480,30;170.613.044,98735400;1,68020845;0,00;0,00;-0,0775%;0,1004%;4,0499%;68,0208%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-18;0,00;1.010.000,00;388.054.798,05;217.518.560,75251500;1,78400775;0,00;0,00;0,0709%;0,5190%;5,0311%;78,4008%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-18;0,00;0,00;595.613.284,99;352.123.572,96349800;1,69148938;0,00;0,00;-0,0753%;0,1048%;4,0466%;69,1489%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-18;0,00;1.010.000,00;1.113.331.372,59;649.372.699,67480400;1,71447209;0,00;0,00;0,0795%;0,5383%;4,8245%;71,4472%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-18;0,00;0,00;1.174.289.861,68;738.011.197,93372700;1,59115453;0,00;0,00;0,0244%;0,5929%;4,6181%;59,1155%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-19;0,00;53.850,91;17.325.289,29;10.287.308,73993700;1,68414206;0,00;0,00;0,0386%;0,5678%;4,7933%;68,4142%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-19;0,00;0,00;35.014.770,67;21.601.931,58082440;1,62090925;0,00;0,00;-0,0539%;0,2041%;4,6022%;62,0909%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-19;0,00;0,00;66.352.366,78;49.231.885,71809780;1,34775189;0,00;0,00;-1,3482%;-6,8951%;6,2777%;34,7752%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-19;0,00;0,00;117.138.207,08;7.134.155,46745798;16,41935161;0,00;0,00;0,0862%;1,6280%;-3,7348%;64,1935%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-19;0,00;0,00;156.158.734,96;100.494.180,20570500;1,55390824;0,00;0,00;-0,0009%;0,2199%;2,3270%;55,3908%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-19;0,00;0,00;199.339.777,76;118.349.389,21560600;1,68433297;0,00;0,00;0,0254%;0,3913%;4,0745%;68,4333%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-19;0,00;0,00;243.603.531,09;144.682.672,65772100;1,68370909;0,00;0,00;0,0411%;0,5701%;5,0595%;68,3709%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-19;0,00;731.758,87;285.743.714,17;170.177.239,41001800;1,67909478;0,00;0,00;-0,0663%;0,0340%;3,9809%;67,9095%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-19;0,00;0,00;388.199.883,83;217.518.560,75251500;1,78467475;0,00;0,00;0,0374%;0,5566%;5,0703%;78,4675%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-19;0,00;203.598,77;595.020.734,10;352.003.127,74226500;1,69038479;0,00;0,00;-0,0653%;0,0395%;3,9787%;69,0385%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-19;0,00;0,00;1.113.768.119,58;649.372.699,67480400;1,71514466;0,00;0,00;0,0392%;0,5778%;4,8656%;71,5145%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-19;0,00;16.946,70;1.174.786.174,54;738.000.552,01853000;1,59184999;0,00;0,00;0,0437%;0,6368%;4,6638%;59,1850%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-20;0,00;0,00;17.342.134,34;10.287.308,73993700;1,68577952;0,00;0,00;0,0972%;0,6655%;4,8952%;68,5780%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-20;0,00;0,00;35.056.800,41;21.601.931,58082440;1,62285490;0,00;0,00;0,1200%;0,3243%;4,7278%;62,2855%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-20;0,00;0,00;67.709.241,09;49.231.885,71809780;1,37531277;0,00;0,00;2,0450%;-4,9911%;8,4510%;37,5313%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-20;0,00;0,00;117.423.913,34;7.134.155,46745798;16,45939928;0,00;0,00;0,2439%;1,8759%;-3,5000%;64,5940%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-20;0,00;0,00;156.400.004,54;100.494.180,20570500;1,55630907;0,00;0,00;0,1545%;0,3747%;2,4851%;55,6309%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-20;0,00;0,00;199.655.056,88;118.349.389,21560600;1,68699694;0,00;0,00;0,1582%;0,5501%;4,2391%;68,6997%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-20;0,00;0,00;243.861.742,42;144.682.672,65772100;1,68549376;0,00;0,00;0,1060%;0,6767%;5,1708%;68,5494%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-20;0,00;0,00;286.501.077,30;170.177.239,41001800;1,68354522;0,00;0,00;0,2650%;0,2992%;4,2565%;68,3545%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-20;0,00;0,00;388.540.157,85;217.518.560,75251500;1,78623910;0,00;0,00;0,0877%;0,6447%;5,1624%;78,6239%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-20;0,00;0,00;596.589.138,98;352.003.127,74226500;1,69484044;0,00;0,00;0,2636%;0,3031%;4,2527%;69,4840%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-20;0,00;0,00;1.114.871.001,01;649.372.699,67480400;1,71684304;0,00;0,00;0,0990%;0,6773%;4,9694%;71,6843%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-20;0,00;0,00;1.175.742.193,57;738.000.552,01853000;1,59314541;0,00;0,00;0,0814%;0,7187%;4,7490%;59,3145%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-21;0,00;0,00;17.352.856,92;10.287.308,73993700;1,68682183;0,00;0,00;0,0618%;0,7278%;4,9600%;68,6822%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-21;0,00;0,00;35.088.207,26;21.601.931,58082440;1,62430879;0,00;0,00;0,0896%;0,4142%;4,8216%;62,4309%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-21;0,00;0,00;67.665.854,23;49.231.885,71809780;1,37443149;0,00;0,00;-0,0641%;-5,0520%;8,3815%;37,4431%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-21;0,00;0,00;117.133.337,23;7.134.155,46745798;16,41866900;0,00;0,00;-0,2475%;1,6238%;-3,7388%;64,1867%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-21;0,00;0,00;156.549.549,41;100.494.180,20570500;1,55779717;0,00;0,00;0,0956%;0,4707%;2,5830%;55,7797%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-21;0,00;0,00;199.806.805,67;118.349.389,21560600;1,68827915;0,00;0,00;0,0760%;0,6265%;4,3183%;68,8279%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-21;0,00;0,00;244.020.890,99;144.682.672,65772100;1,68659375;0,00;0,00;0,0653%;0,7424%;5,2395%;68,6594%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-21;0,00;0,00;286.573.297,17;170.177.239,41001800;1,68396960;0,00;0,00;0,0252%;0,3245%;4,2828%;68,3970%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-21;0,00;36.802,00;388.757.153,51;217.497.971,13691000;1,78740588;0,00;0,00;0,0653%;0,7105%;5,2311%;78,7406%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-21;0,00;0,00;596.742.777,16;352.003.127,74226500;1,69527691;0,00;0,00;0,0258%;0,3290%;4,2796%;69,5277%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-21;0,00;36.802,00;1.115.534.890,30;649.351.277,28280900;1,71792207;0,00;0,00;0,0628%;0,7406%;5,0354%;71,7922%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-21;0,00;0,00;1.176.333.942,45;738.000.552,01853000;1,59394723;0,00;0,00;0,0503%;0,7694%;4,8017%;59,3947%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-22;0,00;16.785,96;17.346.205,07;10.277.363,31329980;1,68780693;0,00;0,00;0,0584%;0,7866%;5,0213%;68,7807%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-22;0,00;0,00;35.105.729,50;21.601.931,58082440;1,62511993;0,00;0,00;0,0499%;0,4644%;4,8740%;62,5120%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-22;0,00;0,00;66.870.302,17;49.231.885,71809780;1,35827221;0,00;0,00;-1,1757%;-6,1683%;7,1072%;35,8272%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-22;0,00;0,00;118.242.227,56;7.134.155,46745798;16,57410300;0,00;0,00;0,9467%;2,5859%;-2,8275%;65,7410%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-22;0,00;0,00;156.337.152,39;100.494.180,20570500;1,55568364;0,00;0,00;-0,1357%;0,3344%;2,4439%;55,5684%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-22;0,00;0,00;199.897.062,66;118.349.389,21560600;1,68904178;0,00;0,00;0,0452%;0,6720%;4,3654%;68,9042%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-22;0,00;0,00;244.176.158,01;144.682.672,65772100;1,68766690;0,00;0,00;0,0636%;0,8065%;5,3064%;68,7667%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-22;0,00;10.476,48;286.654.083,55;170.171.020,09067700;1,68450588;0,00;0,00;0,0318%;0,3564%;4,3160%;68,4506%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-22;0,00;0,00;388.973.093,43;217.497.971,13691000;1,78839872;0,00;0,00;0,0555%;0,7664%;5,2896%;78,8399%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-22;9.383,30;0,00;596.945.929,71;352.008.660,91153400;1,69582739;0,00;0,00;0,0325%;0,3616%;4,3134%;69,5827%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-22;0,00;0,00;1.116.197.457,83;649.351.277,28280900;1,71894242;0,00;0,00;0,0594%;0,8005%;5,0978%;71,8942%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-22;0,00;9.539,56;1.177.105.271,06;737.994.571,12311800;1,59500532;0,00;0,00;0,0664%;0,8363%;4,8712%;59,5005%
CUST1814;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST ADMINISTR;2026-05-25;0,00;0,00;17.360.094,50;10.277.363,31329980;1,68915839;0,00;0,00;0,0801%;0,8673%;5,1054%;68,9158%
CUST2345;WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;2026-05-25;0,00;0,00;35.142.016,73;21.601.931,58082440;1,62679974;0,00;0,00;0,1034%;0,5682%;4,9824%;62,6800%
CUST2125;IAJA - IAJA CI FIC CI FIA - RL;2026-05-25;0,00;0,00;67.535.569,79;49.231.885,71809780;1,37178515;0,00;0,00;0,9949%;-5,2348%;8,1728%;37,1785%
CUST2127;IAJA CI FIC CI FIM CP IE - RL;2026-05-25;0,00;0,00;118.504.695,74;7.134.155,46745798;16,61089337;0,00;0,00;0,2220%;2,8136%;-2,6118%;66,1089%
CUST2126;IAJA - IAJA CI COTAS EM CI FIM CP RL;2026-05-25;0,00;0,00;156.660.188,31;100.494.180,20570500;1,55889812;0,00;0,00;0,2066%;0,5417%;2,6555%;55,8898%
CUST2314;ITAÚ ASSET - IAJA ITAÚ 2 FIC FI RF CP;2026-05-25;0,00;0,00;200.140.302,89;118.349.389,21560600;1,69109705;0,00;0,00;0,1217%;0,7945%;4,4924%;69,1097%
CUST2349;BRAM - IAJA BRAM 1 CLASSE DE INV. EM COTAS  DE CLASSE RDA FI;2026-05-25;0,00;0,00;244.409.644,28;144.682.672,65772100;1,68928068;0,00;0,00;0,0956%;0,9029%;5,4071%;68,9281%
CUST1813;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL GAMA;2026-05-25;0,00;0,00;287.160.644,51;170.171.020,09067700;1,68748265;0,00;0,00;0,1767%;0,5337%;4,5003%;68,7483%
CUST2152;IAJA - SANGEST IAJA 3 FIC FI RDA FIXA CP FIF - RL;2026-05-25;0,00;0,00;389.285.272,35;217.497.971,13691000;1,78983404;0,00;0,00;0,0803%;0,8473%;5,3741%;78,9834%
CUST1812;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL BETA;2026-05-25;0,00;0,00;597.994.664,13;352.008.660,91153400;1,69880667;0,00;0,00;0,1757%;0,5379%;4,4967%;69,8807%
CUST2128;SANGEST - IAJA CIC CIRF CRED PRIV RESP. LIMITADA;2026-05-25;0,00;0,00;1.117.106.914,45;649.351.277,28280900;1,72034298;0,00;0,00;0,0815%;0,8826%;5,1834%;72,0343%
CUST1811;IAJA - SANGEST INST ADVENTISTA DE JUBILAÇÃO ASSIST PL ALPHA;2026-05-25;0,00;0,00;1.178.009.044,04;737.994.571,12311800;1,59622995;0,00;0,00;0,0768%;0,9137%;4,9518%;59,6230%
